Time,Altitude,Airspeed,Roll,Pitch,Yaw,Rudder,AoS
6.729,6.69,11.63,2.39,0.71,0.06,-0.03375,11.87
6.781,6.77,11.52,2.23,0.48,0.05,-0.03375,11.96
6.838,6.92,11.71,2.07,0.3,0.05,-0.03375,12.75
6.893,6.75,11.68,1.87,0.03,0.03,-0.10125,13.36
6.95,6.43,11.68,1.71,-0.12,0.02,-0.03375,13.63
7.006,6.67,11.65,1.58,-0.24,0,-0.10125,13.19
7.059,6.88,11.52,1.39,-0.47,-0.05,-0.10125,12.84
7.117,6.75,11.5,1.29,-0.61,-0.1,-0.10125,12.4
7.169,6.86,11.53,1.13,-0.76,-0.15,-0.135,12.13
7.227,6.91,11.59,1,-0.75,-0.2,-0.03375,12.13
7.278,6.77,11.46,0.86,-0.75,-0.27,-0.10125,12.22
7.331,6.8,11.44,0.74,-0.77,-0.35,-0.10125,12.4
7.386,6.79,11.5,0.65,-0.66,-0.42,-0.0675,12.84
7.44,6.92,11.37,0.52,-0.8,-0.5,-0.03375,12.48
7.498,7.02,11.38,0.39,-0.94,-0.58,-0.03375,12.31
7.557,7,11.39,0.31,-1.01,-0.66,-0.03375,12.22
7.614,7.03,11.37,0.27,-1.05,-0.75,-0.10125,12.13
7.668,6.99,11.46,0.23,-1.01,-0.82,-0.03375,11.87
7.726,7.09,11.3,0.14,-0.95,-0.89,-0.10125,11.43
7.779,7.09,11.19,0.02,-0.96,-0.98,-0.10125,11.34
7.836,7.1,11.09,-0.06,-0.78,-1.07,-0.03375,10.99
7.889,7.2,11.12,-0.15,-0.9,-1.14,-0.10125,10.55
7.943,7.24,11.16,-0.18,-1,-1.22,-0.03375,9.93
7.996,7.16,11.21,-0.23,-1.13,-1.29,-0.03375,9.93
8.054,7.35,11.23,-0.28,-1.21,-1.38,-0.0675,10.37
8.106,7.38,11.16,-0.35,-1.34,-1.45,-0.0675,10.46
8.163,7.25,11.1,-0.4,-1.36,-1.5,-0.0675,10.37
8.216,7.36,11.1,-0.48,-1.45,-1.57,-0.0675,10.02
8.273,7.43,11.02,-0.59,-1.64,-1.63,-0.0675,10.02
8.327,7.37,10.98,-0.69,-1.85,-1.7,-0.03375,10.2
8.381,7.24,10.9,-0.77,-2.05,-1.75,-0.10125,10.46
8.435,7.38,10.75,-0.87,-2.31,-1.8,-0.03375,10.37
8.495,7.5,10.72,-0.97,-2.57,-1.87,0,10.29
8.552,7.51,10.62,-1.05,-2.75,-1.92,-0.10125,10.55
8.606,7.65,10.72,-1.1,-2.96,-1.97,-0.03375,10.46
8.664,7.62,10.63,-1.15,-3.13,-1.98,-0.10125,10.2
8.716,7.53,10.53,-1.21,-3.34,-1.99,-0.0675,10.11
8.773,7.65,10.33,-1.18,-3.28,-2.01,-0.10125,10.46
8.825,7.77,10.23,-1.14,-3.2,-2.04,-0.10125,10.46
8.879,7.81,10.16,-1.04,-2.99,-2.05,-0.0675,10.11
8.934,7.89,10.16,-1.07,-3.08,-2.06,-0.0675,9.93
8.986,8.09,10.18,-1,-2.89,-2.05,-0.10125,9.41
9.043,8.08,10.11,-0.94,-2.6,-2.05,-0.0675,8.79
9.101,8.11,10.08,-0.98,-2.54,-2.06,-0.03375,8.62
9.155,8.08,10.07,-1.07,-2.54,-2.06,-0.03375,8.53
9.21,8.2,10.04,-1.15,-2.52,-2.07,-0.10125,8.44
9.263,8.32,9.96,-1.18,-2.39,-2.07,-0.10125,8.62
9.319,8.38,9.94,-1.18,-2.3,-2.07,-0.10125,8.62
9.373,8.44,9.84,-1.24,-2.14,-2.07,-0.10125,8.62
9.426,8.49,9.84,-1.25,-1.96,-2.07,-0.03375,7.91
9.482,8.49,9.81,-1.27,-1.72,-2.08,-0.10125,7.83
9.535,8.5,9.67,-1.34,-1.54,-2.08,-0.10125,7.83
9.593,8.49,9.7,-1.4,-1.34,-2.08,-0.10125,7.91
9.65,8.68,9.65,-1.48,-1.13,-2.08,-0.10125,7.74
9.701,8.68,9.74,-1.46,-0.94,-2.08,-0.03375,7.65
9.754,8.67,9.69,-1.45,-0.75,-2.09,-0.0675,7.56
9.811,8.77,9.6,-1.47,-0.62,-2.09,-0.0675,7.39
9.871,8.77,9.63,-1.53,-0.43,-2.09,-0.0675,6.77
9.929,8.82,9.6,-1.59,-0.21,-2.09,-0.03375,6.6
9.988,8.89,9.56,-1.59,-0.09,-2.09,-0.03375,6.51
10.05,8.86,9.49,-1.52,0.03,-2.1,-0.03375,6.16
10.109,8.85,9.47,-1.49,0.22,-2.1,-0.10125,5.98
10.169,8.89,9.57,-1.43,0.35,-2.09,-0.10125,5.72
10.229,8.88,9.65,-1.4,0.48,-2.09,-0.0675,6.6
10.286,8.95,9.64,-1.4,0.56,-2.09,-0.03375,6.68
10.348,8.88,9.57,-1.39,0.63,-2.09,-0.03375,6.68
10.409,8.9,9.56,-1.33,0.65,-2.1,-0.03375,6.42
10.469,8.97,9.54,-1.31,0.77,-2.1,-0.10125,5.54
10.529,9.04,9.37,-1.28,0.5,-2.11,-0.10125,5.01
10.591,9.06,9.32,-1.27,0.66,-2.11,-0.03375,5.28
10.657,8.89,9.31,-1.2,0.73,-2.11,-0.10125,5.1
10.718,8.95,9.25,-1.14,0.75,-2.11,-0.0675,4.75
10.775,9.01,9.15,-1.1,0.63,-2.1,-0.03375,4.75
10.833,9.04,9.49,-1.1,0.74,-2.08,-0.10125,4.05
10.896,9.08,9.36,-1.09,0.88,-2.02,-0.03375,3.69
10.957,9,9.45,-1.1,1.05,-1.97,-0.03375,2.9
11.017,9.03,9.55,-1.06,0.91,-1.95,-0.03375,2.82
11.075,9.06,9.54,-1.06,0.76,-1.92,-0.0675,2.73
11.135,8.96,9.6,-1.11,0.95,-1.86,0,2.73
11.197,8.99,9.55,-1.17,1.03,-1.8,-0.03375,2.64
11.257,9.01,9.58,-1.23,1.08,-1.74,-0.03375,2.73
11.317,8.94,9.49,-1.26,1.16,-1.68,-0.10125,2.73
11.375,9,9.5,-1.28,1.15,-1.62,-0.0675,2.73
11.433,8.94,9.44,-1.27,1.12,-1.56,-0.03375,2.64
11.496,8.94,9.64,-1.25,1.02,-1.51,-0.0675,2.55
11.556,8.9,9.73,-1.26,0.89,-1.46,-0.10125,2.2
11.616,8.89,9.85,-1.26,0.93,-1.4,-0.03375,2.02
11.674,8.86,9.96,-1.26,0.96,-1.32,-0.03375,2.02
11.735,8.82,9.98,-1.26,1.01,-1.25,-0.03375,1.85
11.795,8.8,9.83,-1.25,1.05,-1.19,-0.0675,1.5
11.855,8.86,9.83,-1.2,1.02,-1.13,-0.03375,1.23
11.915,8.82,9.93,-1.13,0.81,-1.06,-0.0675,0.79
11.972,8.82,9.82,-1.09,0.76,-0.99,-0.03375,0.62
12.034,8.8,9.89,-1.04,0.77,-0.92,-0.03375,0.62
12.094,8.76,9.88,-1.01,0.77,-0.85,-0.0675,0.62
12.155,8.77,9.85,-0.98,0.65,-0.79,-0.10125,0.71
12.215,8.68,9.94,-0.96,0.48,-0.71,-0.03375,0.79
12.283,8.7,9.87,-0.92,0.47,-0.63,-0.03375,0.88
12.344,8.74,9.8,-0.87,0.46,-0.55,-0.03375,0.53
12.404,8.75,9.63,-0.84,0.4,-0.47,-0.10125,-0.26
12.464,8.71,9.78,-0.83,0.27,-0.4,-0.03375,-0.44
12.522,8.71,9.75,-0.81,0.19,-0.33,-0.03375,-0.52
12.582,8.65,9.81,-0.77,0.19,-0.24,-0.10125,-0.7
12.644,8.68,9.85,-0.71,0.21,-0.15,-0.10125,-0.7
12.703,8.6,9.93,-0.64,0.23,-0.05,-0.10125,-0.52
12.763,8.54,10.08,-0.56,0.24,0.03,-0.10125,-0.08
12.821,8.59,10.13,-0.52,0.18,0.1,-0.03375,0.09
12.88,8.49,10.03,-0.53,0.05,0.2,-0.03375,-0.08
