Time,Latitude,Longitude,Altitude,Roll,Pitch,Yaw,AirSpeed,AoA,AoS,V_N_g,V_E_g,V_D_g,GroundSpeed
13.721,35.2947058,136.25368085,8.41,-0.14,-0.1,1.64,9.96,-1.73,-1.31999999999999,5.92238333225596,8.44856858654172,0.355871886120997,10.3237386781637
14.566,35.29474915,136.25360085,8.33,-0.29,-0.87,3.25,10,-1.29,2.55000000000001,5.48807526064612,8.81542364571639,-0.166073546856466,10.3854823933671
15.407,35.29478915,136.25352,8.46,-0.34,-0.83,4.6,9.91,-1.2,4.21999999999997,5.01088577289293,8.58109318865476,-0.141509433962263,9.93801597207704
16.374,35.29483,136.2534375,8.465,0.01,-0.77,5.05,9.84,-1.03,4.93000000000001,4.68390630331854,7.52097404424738,0.107003891050583,8.86089604189158
17.341,35.29487335,136.25335585,8.255,0.02,-0.5,5.05,9.68,-0.409999999999993,6.24000000000001,5.01981307617414,7.44214061488972,0.3239289446186,8.98270060798431
18.277,35.2949175,136.25327835,7.87,-0.64,-0.37,5.04,9.91,-1.29,7.38999999999999,5.26087389322068,7.35151702354025,0.484720758693361,9.05298574403392
19.264,35.2949625,136.2532025,7.485,-0.5,-0.78,5.04,10.09,-0.59,7.56,5.04809844420596,6.89783096095499,0.31344792719919,8.55345658031706
20.683,35.29500915,136.253125,7.03,-0.29,-0.9,5.06,9.92,-0.59,8.25999999999999,2.88256651774168,3.91433446917248,0.322754168908015,4.87189637813703
22.002,35.29505665,136.25304415,6.605,-0.92,-1,5.61,9.81,-0.150000000000002,10.29,6.29547705844451,9.02961635188138,0.303766707168894,11.011779014671
22.827,35.29510415,136.25296415,6.375,-0.94,-0.98,5.6,9.95,-0.849999999999991,8.62,6.49538332136345,8.63285886545097,0.254545454545456,10.8065281228835
23.701,35.29515165,136.252885,6.155,-0.27,-0.84,5.6,10.1,-0.409999999999993,5.19,6.33395806953156,8.89576400347569,0.28117359413203,10.9239507790064
24.465,35.2951975,136.25280335,5.99,0.05,-1.65,5.61,10.02,-0.499999999999996,5.00999999999999,6.08108350237712,9.22886226219066,0.121802679658952,11.0528870034097
25.342,35.29524085,136.2527192,6,-0.13,-1.56,5.73,9.86,-1.03,2.63999999999999,5.2873689384955,8.83602533490666,-0.137142857142856,10.298078567099
26.271,35.29528085,136.25263335,5.995,-1.08,-0.91,6.43,9.69,0.200000000000006,0.879999999999995,4.55926124461252,8.46153279489311,0.139484978540773,9.61269246334844
27.307,35.2953175,136.25254915,5.75,-0.05,0.15,7.34,9.68,-0.31999999999999,2.81999999999999,3.40027122036972,6.50731162757254,0.315236427320489,7.34889944110852
28.291,35.29535,136.25246415,5.36,0.6,-0.18,8.39,9.88,-1.2,1.06,3.59436262174767,8.67351596459779,0.453563714902809,9.39973626695058
29.272,35.29538085,136.25237335,4.98,0.6,-1.21,9.43,9.9,0.0300000000000047,3.16999999999996,3.57781077671945,8.6332323819908,0.345879959308241,9.35163430966564
30.308,35.2954125,136.2522817,4.66,-0.02,-1.17,9.83,9.67,-1.03,5.36000000000001,3.38080367773575,7.89421388235536,0.289296046287367,8.59256297795722
